Type,Year,Indicator
Bière,1966,5.09
Bière,1967,5.15
Bière,1968,4.94
Bière,1969,5.03
Bière,1970,5.15
Bière,1971,5.08
Bière,1972,4.8
Bière,1973,4.92
Bière,1974,4.88
Bière,1975,4.63
Bière,1976,4.56
Bière,1977,4.35
Bière,1978,4.3
Bière,1979,4.28
Bière,1980,4.3
Bière,1981,4.34
Bière,1982,4.42
Bière,1983,4.3
Bière,1984,4.17
Bière,1985,4.19
Bière,1986,4.19
Bière,1987,4.17
Bière,1988,4.13
Bière,1989,4.17
Bière,1990,4.09
Bière,1991,4.1
Bière,1992,3.99
Bière,1993,3.99
Bière,1994,3.77
Bière,1995,3.65
Bière,1996,3.53
Bière,1997,3.41
Bière,1998,3.53
Bière,1999,3.4
Bière,2000,3.39186
Bière,2001,3.38367
Bière,2002,3.25439
Bière,2003,3.36552
Bière,2004,3.23553
Bière,2005,3.10588
Bière,2006,3.21483
Bière,2007,3.32319
Bière,2008,3.31309
Bière,2009,3.30396
Bière,2010,3.18
Bière,2011,3.17
Bière,2012,3.17
Bière,2013,3.17
Bière,2014,3.17
Bière,2015,3.17
Bière,2016,3.05
Bière,2017,3.05
Bière,2018,3.17
Bière,2019,3.17
Vin,1966,6.15
Vin,1967,6.32
Vin,1968,6.22
Vin,1969,6.45
Vin,1970,6.6
Vin,1971,6.56
Vin,1972,6.95
Vin,1973,7.26
Vin,1974,7.15
Vin,1975,6.79
Vin,1976,6.64
Vin,1977,6.8
Vin,1978,6.9
Vin,1979,6.9
Vin,1980,7.11
Vin,1981,7.32
Vin,1982,7.28
Vin,1983,7.09
Vin,1984,7.29
Vin,1985,7.21
Vin,1986,7.04
Vin,1987,7.16
Vin,1988,7.2
Vin,1989,7.14
Vin,1990,6.5
Vin,1991,6.39
Vin,1992,6.16
Vin,1993,6.16
Vin,1994,5.96
Vin,1995,5.85
Vin,1996,5.85
Vin,1997,5.85
Vin,1998,5.72
Vin,1999,5.83
Vin,2000,5.81462
Vin,2001,5.67974
Vin,2002,5.54451
Vin,2003,5.40887
Vin,2004,5.27271
Vin,2005,5.13665
Vin,2006,5.00084
Vin,2007,5.10347
Vin,2008,4.96963
Vin,2009,4.83795
Vin,2010,4.94
Vin,2011,4.82
Vin,2012,4.7
Vin,2013,4.69
Vin,2014,4.58
Vin,2015,4.58
Vin,2016,4.34
Vin,2017,4.23
Vin,2018,4.23
Vin,2019,4.35
Spiritueux,1966,2.43
Spiritueux,1967,2.27
Spiritueux,1968,2.53
Spiritueux,1969,2.68
Spiritueux,1970,2.57
Spiritueux,1971,2.67
Spiritueux,1972,2.82
Spiritueux,1973,3.02
Spiritueux,1974,2.8
Spiritueux,1975,2.48
Spiritueux,1976,2.36
Spiritueux,1977,2.55
Spiritueux,1978,2.63
Spiritueux,1979,2.56
Spiritueux,1980,2.54
Spiritueux,1981,2.6
Spiritueux,1982,2.71
Spiritueux,1983,2.69
Spiritueux,1984,2.56
Spiritueux,1985,2.67
Spiritueux,1986,2.54
Spiritueux,1987,2.41
Spiritueux,1988,2.41
Spiritueux,1989,2.28
Spiritueux,1990,2.17
Spiritueux,1991,2.17
Spiritueux,1992,1.93
Spiritueux,1993,1.93
Spiritueux,1994,1.95
Spiritueux,1995,1.83
Spiritueux,1996,1.83
Spiritueux,1997,1.83
Spiritueux,1998,1.7
Spiritueux,1999,1.7
Spiritueux,2000,1.93821
Spiritueux,2001,1.93353
Spiritueux,2002,1.92853
Spiritueux,2003,1.92315
Spiritueux,2004,1.91735
Spiritueux,2005,1.79186
Spiritueux,2006,1.90508
Spiritueux,2007,1.89896
Spiritueux,2008,1.89319
Spiritueux,2009,1.88798
Spiritueux,2010,1.77
Spiritueux,2011,1.88
Spiritueux,2012,1.88
Spiritueux,2013,1.76
Spiritueux,2014,1.76
Spiritueux,2015,1.76
Spiritueux,2016,1.76
Spiritueux,2017,1.76
Spiritueux,2018,1.65
Spiritueux,2019,1.76
